scheduleId,initialized,revocable,revoked,beneficiary,cliff,start,duration,slicePeriodSeconds,amountTotal,immediatelyReleasableAmount,released,staked,withdrawn,left,rewardsPaid
0x36fc304b92900d2fc6561cc9d80da9e9e6745dc23ec24e5fb0c46d09155d70e6,true,true,false,0x14467f57Be3Eaa728be0eaEA90e2A59d9d934181,1650326400,1642550400,62208000,86400,10000000000000000000000,1000000000000000000000,1000000000000000000000,0,0,0,0
0xb10d3f90be2f2f1e11388fe54bebedeee469f7eb8c401057a1d5dbbdd52d519a,true,true,false,0xa55f7bb65965687D4706055f604e22EE5ec70533,1642636800,1642550400,864000,3600,10000000000000000000000,1000000000000000000000,10000000000000000000000,0,0,0,0
0x1a2d19128e6bb7be1ed7e56305c90b1f686aa662518836d348a74b745dc9e408,true,true,false,0x9eEeBA9BF04C359D4a91abFcAf789BEEa426951A,1652425200,1644649200,62208000,1,1000000000000000000000,100000000000000000000,100000000000000000000,0,0,0,0
0xeb08e8e11cdc7fca4d93091c84f97617cf1fc7343cf5bba707eb20f27c5e9528,true,true,false,0x281f92A17B905C231efc6275455008eb2a4dD313,1652630400,1644854400,62208000,1,55000000000000000000000000,5500000000000000000000000,22877620122354497354497354,0,0,0,0
0x6bd83628fac02dae928884410396be3a388d7d14d7abc730e94d4c34d4811649,true,true,false,0xB79E417385D767D917B7C1cB627AdC5364C9Bfd4,1652630400,1644854400,62208000,1,37500000000000000000000000,3750000000000000000000000,17037774677579365079365079,8151486670000000000000000,8151486670000000000000000,0,1118983823271961839999504
0xd00b223b05c9775f18b9b7808dce5659169edb0161582ae553f38b15a74d2794,true,true,false,0xafa64cCa337eFEE0AD827F6C2684e69275226e90,1652630400,1644854400,62208000,1,62500000000000000000000000,6250000000000000000000000,27225851256282949735449736,6250005000000000000000000,6250005000000000000000000,0,721590919053385464315790
0x8c576ff5114d8ec706ac95de57df3c0cb7fa56e17dd8812befc279612f8f1ed5,true,true,false,0xeF7cFd3A5a1a9ddD3F4582f14B9A98B3e86eDED1,1652630400,1644854400,62208000,1,37500000000000000000000000,3750000000000000000000000,17477655629960317460317460,2125125000000000000000000,2125125000000000000000000,0,537964680489177303201375
0x8fed3b8052ed277d6d14387723f6e42d0158c1d6516039a311f5af3c0ff0a473,true,true,false,0x3E7c4E57A1dc4dD4bBE81bEFBe3E437f69619DaB,1652630400,1644854400,62208000,1,25000000000000000000000000,2500000000000000000000000,0,0,0,0,0
0x4aa30891f527ee3fe7976eaa3563f653c173bed830d86b87c1503749a37f2f5e,true,true,false,0x1E3E2bd7F88c7DA75cbaC40bb22dc0d44063F810,1652630400,1644854400,62208000,1,125000000000000000000000000,12500000000000000000000000,58261233052248677248677248,0,0,0,0
0xa5c84900ff103d272feaca04b6f7557371787b3a397cfc8670c7c2ea6ee0446a,true,true,false,0x5449c73C2B39C5A1CAF478d89796fB5D38C3d460,1652630400,1644854400,62208000,1,150000000000000000000000000,15000000000000000000000000,0,0,0,0,0
0xe0ff6782828065fe3107ab581c51db0364c91d8b78cdd6385a92758174203f72,true,true,false,0x13c2b93F1F536810EF052e90BCe7c97566C6ca73,1652630400,1644854400,62208000,1,50000000000000000000000000,5000000000000000000000000,21171941633597883597883595,0,0,0,0
